	event	proportion
11LU013	True	1.0
11LU016	False	0.0
11LU022	False	0.0
11LU035	False	0.36735687544413675
C3L-00001	True	1.0
C3L-00009	False	0.0
C3L-00080	True	0.8554589816092361
C3L-00083	False	0.0
C3L-00093	False	0.7317139867174772
C3L-00094	False	0.16895823871332338
C3L-00095	False	0.36735687544413675
C3L-00140	False	0.0
C3L-00144	False	0.0
C3L-00263	False	0.0
C3L-00279	False	0.0
C3L-00368	False	0.0
C3L-00412	False	0.0
C3L-00422	False	0.0
C3L-00510	False	0.0
C3L-00604	False	0.0
C3L-00893	False	0.0
C3L-00913	False	0.0
C3L-00973	False	0.0
C3L-01330	True	1.0
C3L-01632	False	0.36735687544413675
C3L-01682	False	0.0
C3L-01683	False	0.0
C3L-01862	False	0.0
C3L-01889	False	0.0
C3L-01924	True	1.0
C3L-02219	False	0.7094049824098759
C3L-02345	True	1.0
C3L-02348	False	0.0
C3L-02350	False	0.0
C3L-02365	True	1.0
C3L-02508	False	0.0
C3L-02549	False	0.0
C3N-00167	True	1.0
C3N-00169	True	1.0
C3N-00175	False	0.0
C3N-00180	False	0.0
C3N-00199	False	0.0
C3N-00203	True	0.9900894329677538
C3N-00217	True	0.9628008785851166
C3N-00223	True	1.0
C3N-00293	False	0.0
C3N-00294	False	0.0
C3N-00433	False	0.0
C3N-00545	False	0.0
C3N-00546	True	1.0
C3N-00547	False	0.002224695497739218
C3N-00549	False	0.0
C3N-00550	False	0.0
C3N-00551	True	1.0
C3N-00552	False	0.0
C3N-00556	True	1.0
C3N-00559	False	0.6605678802711988
C3N-00560	False	0.7626534318419941
C3N-00572	False	0.0
C3N-00574	True	1.0
C3N-00578	True	1.0
C3N-00579	False	0.0
C3N-00580	True	0.8702651833902136
C3N-00704	True	1.0
C3N-00737	False	0.0
C3N-00738	False	0.0
C3N-00959	False	0.0
C3N-01016	False	0.0
C3N-01021	True	1.0
C3N-01023	False	0.36735687544413675
C3N-01024	True	0.9041346198053842
C3N-01030	True	1.0
C3N-01071	True	0.9551188688255763
C3N-01072	False	0.0
C3N-01074	False	0.0
C3N-01405	False	0.36735687544413675
C3N-01410	False	0.20350165923248892
C3N-01413	False	0.0
C3N-01414	False	0.0
C3N-01415	True	1.0
C3N-01416	False	0.0
C3N-01488	False	0.0
C3N-01489	False	0.36735687544413675
C3N-01799	False	0.36735687544413675
C3N-01823	False	0.0
C3N-01842	True	1.0
C3N-02000	True	1.0
C3N-02002	True	1.0
C3N-02003	False	0.0
C3N-02067	True	1.0
C3N-02087	False	0.36735687544413675
C3N-02089	True	0.879652532100613
C3N-02145	True	1.0
C3N-02149	False	0.36735687544413675
C3N-02155	False	0.0
C3N-02158	False	0.0
C3N-02379	True	1.0
C3N-02380	False	0.0
C3N-02421	True	1.0
C3N-02422	False	0.0
C3N-02423	False	0.0
C3N-02424	False	0.36735687544413675
C3N-02433	True	1.0
C3N-02529	False	0.7594553603080402
C3N-02572	True	1.0
C3N-02582	True	1.0
C3N-02586	False	0.0
C3N-02587	False	0.0
C3N-02588	False	0.0
C3N-02729	False	0.7602285502797621
